Cyprinella zanema
Notropis rubricroceus
Erimonax monachus
Cyprinella labrosa
Moxostoma pappillosum
Percina roanoka
Nocomis raneyi
Percina aurantiaca
Notropis mekistocholas
Lythrurus matutinus
Luxilus cerasinus
Etheostoma acuticeps
Noturus furiosus
Etheostoma kanawhae
Exoglossum laurae
Notropis scabriceps
Phenacobius teretulus
Nocomis platyrhynchus
Percina gymnocephala
Hypentelium roanokense
Etheostoma podostemone
Moxostoma cervinum
Percina rex
Moxostoma ariommum
Agosia chrysogaster
Catostomus insignis
Gila nigrescens
Oncorhynchus gilae
Acipenser brevirostrum
Catostomus utawana
Notropis suttkusi
Percina pantherina
Macrhybopsis australis
Elassoma okatie
Noturus gladiator
Etheostoma pseudovulatum
Etheostoma luteovinctum
Etheostoma planasaxatile
Thoburnia atripinnis
Percina burtoni
Etheostoma derivativum
Cottus baileyi
Etheostoma meadiae
Etheostoma osburni
Etheostoma denoncourti
Alosa mediocris
Cottus kanawhae
Etheostoma longimanum
Noturus gilberti
Notropis semperasper
Thoburnia hamiltoni
Percina williamsi
Erimystax cahni
Thoburnia rhothoeca
Pararhinichthys bowersi
Macrhybopsis gelida
Pteronotropis merlini
Micropterus warriorensis
Micropterus cahabae
Etheostoma sp. Blueface Darter
Etheostoma sp. Sipsey Darter
Notropis sp. Sawfin Shiner
Moxostoma sp. Apalachicola Redhorse
Ariopsis felis
Cottus chattahoochee
Micropterus sp. Altamaha Bass
Moxostoma sp. Brassy Jumprock
Micropterus sp. Bartram's Bass
Etheostoma gore
Etheostoma jimmycarter
Moxostoma sp. Sicklefin Redhorse
Moxostoma sp. Carolina Redhorse
Catostomus clarkii
Rhinichthys cobitis
Meda fulgida
Cyprinella sp. Thinlip Chub
Cottus sp. Bluestone Sculpin
Cottus sp. Clinch Sculpin
Cottus sp. Holston Sculpin
Erimyzon claviformis
Erimyzon oblongus
Umbra pygmaea
Cycleptus elongatus
Campostoma spadiceum
Elops saurus
Gobioides broussonetii
Ctenogobius boleosoma
Sciaenops ocellatus
Leiostomus xanthurus
Archosargus probatocephalus
Cynoscion nebulosus
Achirus lineatus
Myrophis punctatus
Brevoortia patronus
Mugil curema
Bagre marinus
Fundulus confluentus
Citharichthys spilopterus
Ctenogobius shufeldti
Pogonias cromis
Membras martinica
Caranx hippos
Micropogonias undulatus
Gobiosoma bosc
Microgobius gulosus
Lagodon rhomboides
Cynoscion arenarius
Ophichthus gomesii
Evorthodus lyricus
Bairdiella chrysoura
Anchoa hepsetus
Fundulus heteroclitus
Cottus sp. Rocky Mountain Sculpin
Cottus sp. Columbia Slimy Sculpin
Fundulus majalis
Lutjanus griseus
Oligoplites saurus
Eucinostomus argenteus
Labidesthes vanhyningi
Centropomus undecimalis
Elops affinis
Eleotris pisonis
Eucinostomus gula
Eucinostomus harengulus
Eugerres plumieri
Megalops atlanticus
Menidia menidia
Brevoortia tyrannus
Pomatomus saltatrix
Bothus robinsi
Micropterus sp. Choctaw Bass
Etheostoma sp. Mamequit Darter
Clinostomus sp. Smoky Dace
Notropis sp. Piedmont Shiner
Notropis sp. Kanawha Rosyface Shiner
Noturus sp. Highlands Stonecat
Cottus sp. Colorado River Sculpin
Cynoscion nothus
Opsanus beta
Lepidomeda vittata
Gila intermedia
Oncorhynchus apache
Oreochromis mossambicus
Pterygoplichthys multiradiatus
Acrocheilus alutaceus
Awaous banana
Catostomus ardens
Catostomus rimiculus
Catostomus snyderi
Cottus klamathensis
Cottus leiopomus
Cottus marginatus
Cottus tenuis
Dionda serena
Etheostoma aquali
Etheostoma boschungi
Etheostoma tetrazonum
Fundulus euryzonus
Gila atraria
Gila coerulea
Gila cypha
Hybognathus amarus
Hysterocarpus traskii
Lampetra hubbsi
Lavinia exilicauda
Moxostoma robustum
Mylopharodon conocephalus
Notropis rafinesquei
Noturus flavipinnis
Oregonichthys kalawatseti
Orthodon microlepidotus
Percina cymatotaenia
Percina tanasi
Poeciliopsis occidentalis
Pogonichthys macrolepidotus
Ptychocheilus umpquae
Rhinichthys evermanni
Rhinichthys falcatus
Thaleichthys pacificus
Iotichthys phlegethontis
Notropis simus
Rhinichthys umatilla
Lepidomeda copei
